,Text,Synthetic
0,"Nigeria’s former President @Abubarres said he has been shocked by #Trump's remarks against the country.
https://t.co/Xo6UH8",1
1,"The #Trump administration is trying to stop the counting of mail-in ballots at some point, according to @GeorgeHWatson.

https://t.co/5xX9a",1
2,"No. It's not happening.

#Trump campaign says it’s suing #Michigan to stop counting absentee ballots in the state and that “people are being denied their right to vote",1
3,"Monash University’s Associate Professor @LouAnn_Kayser, who is a fellow at the #Trump Institute in Melbourne, says that she believes #US President Donald Trump will lose re",1
4,"Biden and Trump spar over climate change
#ClimateChange #USPolitics #Trump #Biden 
https://t.co/5g6DdzSVZp https://",1
5,"Is #Trump losing the election?

#Election2020 
https://t.co/bZgJ6UjwR8 https://t.co/QcI",1
6,"The #US presidential election is only a week away, and the odds of at least one of @realDonaldTrump or @JoeBiden winning are not looking good.
#Election2020 #USElections",1
7,"Who’s #Trump? 
#Debates2020 will be the biggest debate of our time, but who is he anyway? https://t.co/uT6bZ0",1
8,"In the last #Election2020 , #Trump has been declared winner by the US Supreme Court.
https://t.co/IkVuLfZ9a7

###",1
9,"The #Trump administration is “staying on the job” with respect to the #Covid19 pandemic and it just got better. 

https://t.co/",1
10,"The #Trump administration is preparing to implement a plan that could take effect in 2019 if reelected, according to the White House.

https://t.co/8X6gSZ",1
11,"In a blow to the #Trump administration, a federal judge in Texas has ruled that private companies can't block or limit access to medical records of people who have died from #COVID19.
",1
12,"All eyes are on Ohio as the count in Trump’s home state is still being tallied.

#USAElections2020 #DonaldTrump #JoeBiden 
https://t.co",1
13,"The #Trump campaign is preparing to file lawsuits in #Michigan, Georgia and Michigan for ballot counting irregularities.

#USElections2020 
https://t.co/iMzUaw",1
14,"The #Trump campaign has filed lawsuits in the #Michigan and Pennsylvania to halt mail-in ballots, saying the votes were being counted illegally.

#USElection2020  https://t.co",1
15,"The US election is finally here and it's time to talk about the big picture. #Election2020 #Trump #Biden 
https://t.co/kcXuK9",1
16,"A lot of #Trump supporters are going to be in their cars starting Saturday morning.

#Election2020 https://t.co/YjJbk7D9Xz
",1
17,"Check out our coverage of the race for the White House. #JoeBiden #DonaldTrump 
https://t.co/0xHXU6lLzg https://t.",1
18,"See how #Trump and #Biden fared in the latest US elections. https://t.co/LWJQrzqd3y

###

     ",1
19,"The #Trump administration is set to begin a process of removing the US from the Nuclear Non-Proliferation Treaty (NPT) on November 3rd.

https://t.co/",1
20,"""This is the end of #Trump's presidency,"" a man can be heard shouting at police as they escort voters out of a polling place in Philadelphia. https://t.co/V7U",1
21,"Former #Trump campaign manager: ‘The #GOP will do everything in their power to see him defeated’ https://t.co/bPP3qzCIkA

###",1
22,"The #Trump campaign is preparing for a potential legal battle with the Democratic National Committee in one of three states where ballots are being counted.

https://t.co/ZT6Uc",1
23,"@TuckerCarlson @Rush Limbaugh &amp; the Fox News elite are so intent on destroying President #Trump that they’re even trying to stop #Biden from being elected.
",1
24,"@realDonaldTrump #Trump is trying to make his case that he’s the winner of this election. But if you think about it, who else has been treated like this?

###

",1
25,"@realDonaldTrump #TrumpMeltdown 

#TRUMP IS STANDING UP TO THE PEOPLE AND VOTERS OF AMERICA!

“The people have spoken, the people are coming to",1
26,"#Trump campaign files lawsuit in #Pennsylvania to stop counting votes
https://t.co/Z8IxDv6rXN

###

 



  Dicey",1
27,"The #Trump administration is likely to suffer the most serious blow of its history after the election, analysts say. 

https://t.co/GpSVxjwzv",1
28,"Greta Thunberg had a dream about what her life would be like if she lost #Trump. https://t.co/Kfw7JnQ2U1

###",1
29,"In the battle between #DonaldTrump and #JoeBiden, who has more than 200 million Twitter followers, the former US president has earned a loyal following with his humour.
https://t.co",1
30,"The #Trump campaign is preparing to launch a legal challenge in Pennsylvania next week.

#Elections2020 https://t.co/nZ8GpX9CfL

",1
31,"The #Trump administration has just announced it will make a major move to dismantle the #Erdogan regime in Turkey, while simultaneously taking steps to help its ally Iran.
https://t.co",1
32,"This Monday, #Trump is scheduled to address a joint session of the US Congress. It’s expected that he will call on Americans to take part in the #Covid19 deaths and",1
33,"The #Trump campaign is preparing to go before the US Supreme Court in a bid to stop counting of votes that have been submitted by mail.

#Election2020 
https://t.",1
34,"That’s right, #Trump is a Nazi.

Just like Hitler and his Nazis. 
#Election2020 https://t.co/R1U6p9X",1
35,"A new poll by the Pew Research Center has revealed that more Americans now support President Donald Trump over Democratic challenger Joe Biden.

#DonaldTrump #JoeBiden 
https://t.co/",1
36,"It’s #ElectionDay
and the campaigns are gearing up for a roller coaster ride of emotions. It all depends on how you look at it. 🤷🏽",1
37,"It's been a rough couple of days, but the #Trump campaign hopes to get out the vote today. https://t.co/C0oVAh7D8a

###",1
38,"A #Trump supporter gets tasered while holding a sign “I love my country”

#USAElections2020 https://t.co/rLHg1MGp",1
39,"In the last Presidential debate, #JoeBiden expressed confidence in his young campaign team.

#USElection2020 
#DonaldTrump https://t.co/0aW8NX",1
40,"#Trump is a liar, bully and thug. He's not in the least qualified to be president of the United States.

He should resign  immediately and go back to being an ordinary guy",1
41,"I've watched #Trump speak a million times and I never saw him cry.
He spoke like he was having a fit of rage...”Good riddance, you son of a bitch",1
42,"The #Trump administration is planning a major push to preserve the sanctity of American religious life, reports @Thomas_Smith. https://t.co/NgRkvTqruH",1
43,"#USElection2020 results: #DonaldTrump claims 'fraud' in US election

https://t.co/A0yQsU6j4U https://t.co/",1
44,"It's been a busy week for the #Trump administration, with more than 100 lawsuits and investigations underway. Which one do you think will be resolved first?

#Election2020 
https",1
45,"The #Trump administration is seeking to ban the sale of Trump University in California, which has been accused by students of fraudulent education.
https://t.co/Cq3V5d5",1
46,"The political landscape in the United States has been turned on its head, writes @Veeam_USA
#USElections #DonaldTrump #JoeBiden 
https://t.co/D",1
47,"Who will win the #USElection2020?
#DonaldTrump or #JoeBiden? The final result of the US presidential election is still to be decided, as both candidates are currently in an all",1
48,"@realDonaldTrump @JoeBiden #Trump is using his own words to deny the votes of millions of Americans. He even went so far as to say he will not bow on election night

#",1
49,"The #Trump administration is pushing ahead with the construction of a massive new detention centre in #Iran, as President Trump seeks to extend his tenure despite losing reelection.
https://t.co/l",1
50,"Trump campaign says #Biden 'will be the first African American president'

#Trump @POTUS   https://t.co/nMxVF2HJX9",1
51,"The #Trump administration is reportedly planning to allow a ban on imports of food from China

https://t.co/TdzpfJYsWG https://t.co",1
52,"Bronx woman and father of Bronx boy 'couldn't believe' #Trump ever got elected. They didn't want to vote for Trump but voted for #Biden

#Election2020",1
53,"The #Trump campaign is saying they have already filed lawsuits in Michigan, Georgia and Pennsylvania.

###

     



https://t.co/hjnT",1
